ticket_id,type,title,required_skill,priority,status,created_at,sla_deadline,sla_remaining_hours,assigned_to,min_tier,progress_pct,estimated_remaining_hours
TK001,incident_critical,本番DBサーバー応答なし,database,P1,in_progress,2026-03-30 08:15,2026-03-30 12:15,1.5,E017,L3,40,1.0
TK002,incident_critical,決済APIタイムアウト多発,app_support,P1,in_progress,2026-03-30 09:00,2026-03-30 13:00,2.0,E018,L2,20,2.5
TK003,incident_high,社内メールサーバー遅延,infra,P2,in_progress,2026-03-30 07:30,2026-03-30 19:30,5.0,E010,L2,60,1.5
TK004,incident_high,VPN接続断続的に切断,network,P2,in_progress,2026-03-30 08:00,2026-03-30 20:00,6.0,E011,L2,30,3.0
TK005,incident_high,監視アラート大量発報,monitoring,P2,in_progress,2026-03-30 09:30,2026-03-30 21:30,7.5,E013,L2,50,2.0
TK006,incident_mid,経費精算システムログインエラー,app_support,P3,in_progress,2026-03-29 14:00,2026-03-31 14:00,24.0,E009,L1,70,1.0
TK007,incident_mid,プリンター印刷キュー滞留,helpdesk,P3,in_progress,2026-03-29 16:00,2026-03-31 16:00,26.0,E001,L1,80,0.5
TK008,incident_mid,Wi-Fi接続が不安定（3階会議室）,network,P3,in_progress,2026-03-30 10:00,2026-04-01 10:00,44.0,E014,L1,20,3.0
TK009,incident_low,社内ポータルの表示崩れ,app_support,P4,in_progress,2026-03-28 09:00,2026-04-04 09:00,120.0,E003,L1,10,4.0
TK010,incident_low,古いPC入れ替え相談,helpdesk,P4,in_progress,2026-03-27 11:00,2026-04-03 11:00,96.0,E002,L1,50,1.5
TK011,service_request,新規アカウント発行（営業部5名）,helpdesk,P3,in_progress,2026-03-30 09:00,2026-04-01 09:00,43.0,E006,L1,30,2.0
TK012,service_request,開発環境クラウドインスタンス追加,cloud,P3,in_progress,2026-03-29 10:00,2026-03-31 10:00,20.0,E012,L2,60,1.5
TK013,service_request,セキュリティ監査用ログ抽出,security,P3,in_progress,2026-03-30 08:30,2026-04-01 08:30,42.5,E011,L2,40,2.0
TK014,change_standard,ファイアウォールルール変更申請,security,P3,in_progress,2026-03-29 13:00,2026-03-31 13:00,23.0,E019,L3,70,1.0
TK015,change_standard,本番DB定期メンテナンス準備,database,P2,in_progress,2026-03-30 07:00,2026-03-30 19:00,5.0,E017,L3,50,2.0
TK016,incident_high,ステージング環境ビルド失敗,app_support,P2,blocked_vendor,2026-03-29 15:00,2026-03-30 15:00,1.0,E009,L2,30,4.0
TK017,incident_mid,外部SaaS連携エラー,cloud,P3,blocked_vendor,2026-03-29 11:00,2026-03-31 11:00,21.0,E013,L2,20,5.0
TK018,service_request,VPN証明書更新対応,security,P3,blocked_approval,2026-03-29 09:00,2026-03-31 09:00,19.0,E014,L2,60,1.0
TK019,incident_mid,顧客向けAPIレスポンス遅延調査,app_support,P3,blocked_customer,2026-03-28 16:00,2026-03-30 16:00,2.0,E012,L2,50,2.0
TK020,incident_low,バックアップジョブ警告,monitoring,P4,blocked_vendor,2026-03-28 14:00,2026-04-04 14:00,124.0,E005,L1,10,3.0
TK021,incident_mid,社内チャットツール通知遅延,app_support,P3,in_progress,2026-03-30 10:30,2026-04-01 10:30,44.5,E006,L1,10,3.5
TK022,incident_low,会議室予約システムのカレンダー同期ずれ,app_support,P4,in_progress,2026-03-29 13:00,2026-04-05 13:00,143.0,E003,L1,0,2.0
TK023,service_request,部署異動に伴うアクセス権限変更,security,P3,in_progress,2026-03-30 09:00,2026-04-01 09:00,43.0,E018,L2,20,2.5
TK024,incident_high,ロードバランサー設定不整合,network,P2,in_progress,2026-03-30 11:00,2026-03-30 23:00,9.0,E019,L2,10,4.0
TK025,service_request,テスト環境データベースリストア,database,P3,in_progress,2026-03-30 10:00,2026-04-01 10:00,44.0,E009,L2,0,3.0
TK026,incident_mid,DNS解決遅延（一部ドメイン）,network,P3,in_progress,2026-03-30 11:30,2026-04-01 11:30,45.5,E010,L2,0,3.0
TK027,incident_low,開発者ドキュメントサイト404エラー,app_support,P4,in_progress,2026-03-29 10:00,2026-04-05 10:00,140.0,E001,L1,0,1.5
TK028,service_request,新入社員PC初期セットアップ（3台）,helpdesk,P3,in_progress,2026-03-30 09:30,2026-04-01 09:30,43.5,E004,L1,40,2.0
TK029,incident_mid,自動デプロイパイプライン失敗,cloud,P3,in_progress,2026-03-30 12:00,2026-04-01 12:00,46.0,E012,L2,0,3.0
TK030,incident_high,WAF誤検知によるアクセスブロック,security,P2,in_progress,2026-03-30 13:00,2026-03-31 01:00,11.0,E018,L2,10,4.0
TK031,incident_mid,SSL証明書期限切れ警告（テスト環境）,security,P3,blocked_approval,2026-03-29 14:00,2026-03-31 14:00,24.0,E011,L2,30,2.0
TK032,service_request,監視ダッシュボード新規作成依頼,monitoring,P4,in_progress,2026-03-28 15:00,2026-04-04 15:00,121.0,E005,L1,20,4.0
TK033,incident_low,社内Wikiページの権限エラー,helpdesk,P4,in_progress,2026-03-29 11:00,2026-04-05 11:00,141.0,E002,L1,30,1.0
TK034,service_request,クラウドコスト最適化レポート作成,cloud,P4,in_progress,2026-03-29 09:00,2026-04-05 09:00,139.0,E013,L2,50,2.0
TK035,incident_mid,バッチ処理遅延（月次集計）,database,P3,in_progress,2026-03-30 07:00,2026-04-01 07:00,41.0,E015,L2,0,4.0
TK036,incident_critical,認証基盤（LDAP）応答停止,infra,P1,unassigned,2026-03-30 13:45,2026-03-30 17:45,4.0,,L2,0,3.0
TK037,incident_high,本番アプリサーバーCPU95%超過,monitoring,P2,unassigned,2026-03-30 13:30,2026-03-31 01:30,11.5,,L2,0,3.0
TK038,incident_high,クラウドストレージ容量逼迫（残5%）,cloud,P2,unassigned,2026-03-30 12:00,2026-03-31 00:00,10.0,,L2,0,2.5
TK039,incident_high,社外向けWebサイト一部ページ503エラー,app_support,P2,unassigned,2026-03-30 13:00,2026-03-31 01:00,11.0,,L2,0,3.0
TK040,incident_high,DBレプリケーション遅延,database,P2,unassigned,2026-03-30 12:30,2026-03-31 00:30,10.5,,L3,0,4.0
TK041,incident_mid,勤怠管理システム打刻エラー,app_support,P3,unassigned,2026-03-30 11:00,2026-04-01 11:00,45.0,,L1,0,2.0
TK042,incident_mid,ネットワークプリンターオフライン（2階）,network,P3,unassigned,2026-03-30 10:30,2026-04-01 10:30,44.5,,L1,0,1.5
TK043,incident_mid,メール添付ファイルサイズ制限エラー,helpdesk,P3,unassigned,2026-03-30 12:00,2026-04-01 12:00,46.0,,L1,0,0.5
TK044,service_request,新規プロジェクト用Git リポジトリ作成,app_support,P3,unassigned,2026-03-30 11:30,2026-04-01 11:30,45.5,,L1,0,1.0
TK045,service_request,退職者アカウント無効化（4名）,security,P3,unassigned,2026-03-30 10:00,2026-04-01 10:00,44.0,,L2,0,1.5
TK046,change_standard,Webサーバーセキュリティパッチ適用,infra,P3,unassigned,2026-03-30 09:00,2026-04-01 09:00,43.0,,L2,0,3.0
TK047,incident_mid,クラウド監視エージェント停止（5台）,monitoring,P3,unassigned,2026-03-30 13:00,2026-04-01 13:00,47.0,,L2,0,2.0
TK048,service_request,テナント間ネットワーク分離設定,network,P3,unassigned,2026-03-30 12:30,2026-04-01 12:30,46.5,,L2,0,3.5
TK049,incident_low,社内FAQ検索が機能しない,app_support,P4,unassigned,2026-03-30 09:00,2026-04-06 09:00,163.0,,L1,0,2.0
TK050,incident_low,デスクトップ壁紙がGPOで配信されない,helpdesk,P4,unassigned,2026-03-30 10:00,2026-04-06 10:00,164.0,,L1,0,1.0
TK051,service_request,新規SaaS導入に伴うSSO設定,security,P3,unassigned,2026-03-30 11:00,2026-04-01 11:00,45.0,,L2,0,4.0
TK052,incident_mid,CI/CDパイプラインの権限エラー,cloud,P3,unassigned,2026-03-30 13:30,2026-04-01 13:30,47.5,,L2,0,2.0
TK053,service_request,本番ログローテーション設定変更,infra,P4,unassigned,2026-03-30 08:30,2026-04-06 08:30,162.5,,L2,0,1.5
TK054,incident_low,テスト環境メール送信機能不具合,app_support,P4,unassigned,2026-03-30 11:00,2026-04-06 11:00,165.0,,L1,0,2.5
TK055,incident_mid,ストレージ I/O遅延アラート,infra,P3,unassigned,2026-03-30 12:00,2026-04-01 12:00,46.0,,L2,0,2.5
TK056,service_request,DR環境定期切替テスト実施,cloud,P3,unassigned,2026-03-30 09:30,2026-04-01 09:30,43.5,,L3,0,5.0
TK057,incident_low,開発用DBのスロークエリ調査,database,P4,unassigned,2026-03-30 10:00,2026-04-06 10:00,164.0,,L1,0,3.0
TK058,service_request,ネットワーク構成図の更新,network,P4,unassigned,2026-03-30 13:00,2026-04-06 13:00,167.0,,L1,0,2.0
TK059,incident_mid,セキュリティスキャン結果レビュー,security,P3,unassigned,2026-03-30 12:30,2026-04-01 12:30,46.5,,L2,0,3.0
TK060,incident_low,監視アラート閾値チューニング依頼,monitoring,P4,unassigned,2026-03-30 11:30,2026-04-06 11:30,165.5,,L1,0,2.0
TK061,incident_mid,APIゲートウェイレート制限誤設定,app_support,P3,in_progress,2026-03-30 08:00,2026-04-01 08:00,42.0,E009,L2,50,1.5
TK062,incident_low,テスト環境のログが肥大化,monitoring,P4,in_progress,2026-03-28 10:00,2026-04-04 10:00,116.0,E005,L1,60,1.0
TK063,service_request,SSL証明書更新（本番3ドメイン）,security,P2,in_progress,2026-03-30 07:00,2026-03-30 19:00,5.0,E019,L3,80,0.5
TK064,incident_mid,社内在庫管理システム同期エラー,database,P3,in_progress,2026-03-30 09:00,2026-04-01 09:00,43.0,E015,L2,20,3.0
TK065,service_request,開発チームVPN設定変更,network,P3,in_progress,2026-03-30 10:00,2026-04-01 10:00,44.0,E010,L2,30,2.5
TK066,incident_low,社員向けアプリのプッシュ通知遅延,app_support,P4,in_progress,2026-03-29 15:00,2026-04-05 15:00,145.0,E006,L1,40,2.0
TK067,incident_mid,共有フォルダのアクセス権不整合,infra,P3,in_progress,2026-03-30 11:00,2026-04-01 11:00,45.0,E004,L1,10,3.0
TK068,service_request,監視対象サーバー追加（5台）,monitoring,P3,in_progress,2026-03-30 10:00,2026-04-01 10:00,44.0,E013,L2,30,2.5
TK069,incident_high,本番環境メモリリーク検知,app_support,P2,blocked_customer,2026-03-30 09:00,2026-03-30 21:00,7.0,E018,L2,40,3.0
TK070,incident_mid,クラウド請求額の異常検知,cloud,P3,in_progress,2026-03-30 08:00,2026-04-01 08:00,42.0,E012,L2,60,1.0
TK071,incident_low,オフィスネットワーク速度低下報告,network,P4,in_progress,2026-03-29 14:00,2026-04-05 14:00,144.0,E007,L1,0,2.0
TK072,service_request,データセンターラック配置図更新,infra,P4,in_progress,2026-03-29 09:00,2026-04-05 09:00,139.0,E004,L1,50,1.5
TK073,incident_mid,営業支援システムレポート機能エラー,app_support,P3,blocked_vendor,2026-03-29 10:00,2026-03-31 10:00,20.0,E003,L1,30,3.0
TK074,incident_low,社内ナレッジベース検索精度低下,app_support,P4,in_progress,2026-03-28 11:00,2026-04-04 11:00,117.0,E001,L1,20,2.5
TK075,service_request,新オフィスのネットワーク設計書レビュー,network,P3,in_progress,2026-03-30 08:00,2026-04-01 08:00,42.0,E019,L3,40,3.0
TK076,incident_mid,ジョブスケジューラ異常停止,infra,P3,in_progress,2026-03-30 12:00,2026-04-01 12:00,46.0,E017,L2,0,2.5
TK077,incident_low,テスト用メールサーバー設定不備,infra,P4,in_progress,2026-03-29 16:00,2026-04-05 16:00,146.0,E002,L1,10,2.0
TK078,service_request,クラウドIAMポリシー棚卸し,cloud,P3,in_progress,2026-03-30 11:00,2026-04-01 11:00,45.0,E018,L2,30,3.0
TK079,incident_mid,社内Webアプリのセッションタイムアウト,app_support,P3,in_progress,2026-03-30 13:00,2026-04-01 13:00,47.0,E014,L2,0,2.5
TK080,incident_low,開発環境Docker Registryディスク不足,cloud,P4,in_progress,2026-03-29 12:00,2026-04-05 12:00,142.0,E008,L1,0,3.0
